"venue","update date","vintage","size","price","wine name"
"Fool","2023-11-02","1968","-","395","Moulin Touchais, Coteaux Du Layon, Loire Valley, France"
"Fool","2023-11-02","-","-","49","Noble Rot: Fungus Amongus, Sweet Wines"
"Fool","2023-11-02","NV","1500","190","Adami, Bosco Di Gica 'Brut', Veneto, Italy"
"Fool","2023-11-02","NV","1500","340","Jean Josselin, Cuveé De Jean 'Extra-Brut', Champagne, France"
"Fool","2023-11-02","2013","1500","360","Rebholz, 'Extra Brut', Pfalz, Germany"
"Fool","2023-11-02","2007","1500","520","Nyetimber, Blanc De Blancs ‘Brut’, Sussex, England"
"Fool","2023-11-02","2019","1500","280","Suertes Del Marques, Vidonia, Tenerife, Spain"
"Fool","2023-11-02","2017","1500","310","Patrick Piuze, Terroir De Courgis Chablis, Burgundy, France"
"Fool","2023-11-02","2017","1500","440","Mario Schiopetto, Il Mario, Collio, Italy"
"Fool","2023-11-02","2015","1500","385","Bernhard Huber, Malterdinger Spätburgunder, Baden, Germany"
"Fool","2023-11-02","2017","1500","475","Trévallon, Rouge, Provence, France"
"Fool","2023-11-02","2017","1500","580","Henri Bonneau, Les Rouliers, Châteauneuf-Du-Pape, France"
"Fool","2023-11-02","1982","1500","2700","Cos D'Estournel, Rouge, Bordeaux, France"
"Fool","2023-11-02","-","-","51","Size Matters, Sparkling, White, Red"
